Port Name,In FreeBSD Security,In BlackArch Porting
bkhive,NÃO,SIM
blackarch-artwork,NÃO,SIM
blackarch-config-awesome,NÃO,SIM
blackarch-config-bash,NÃO,SIM
blackarch-config-calamares,NÃO,SIM
blackarch-config-cursor,NÃO,SIM
blackarch-config-fluxbox,NÃO,SIM
blackarch-config-gtk,NÃO,SIM
blackarch-config-i3,NÃO,SIM
blackarch-config-icons,NÃO,SIM
blackarch-config-lxdm,NÃO,SIM
blackarch-config-openbox,NÃO,SIM
blackarch-config-spectrwm,NÃO,SIM
blackarch-config-vim,NÃO,SIM
blackarch-config-x11,NÃO,SIM
blackarch-config-xfce,NÃO,SIM
blackarch-config-zsh,NÃO,SIM
blackarch-devtools,NÃO,SIM
blackarch-devtools-toolkit,NÃO,SIM
blackarch-dwm,NÃO,SIM
blackarch-installer,NÃO,SIM
blackarch-keyring,NÃO,SIM
blackarch-menus,NÃO,SIM
blackarch-mirrorlist,NÃO,SIM
blackarch-officials,NÃO,SIM
blackarch-wallpaper,NÃO,SIM
blackbox-scanner,NÃO,SIM
blackeye,NÃO,SIM
blackhash,NÃO,SIM
blackman,NÃO,SIM
blackmate,NÃO,SIM
blacknurse,NÃO,SIM
bleah,NÃO,SIM
bless,NÃO,SIM
bletchley,NÃO,SIM
blind-sql-bitshifting,NÃO,SIM
blindelephant,NÃO,SIM
blindsql,NÃO,SIM
blindy,NÃO,SIM
blisqy,NÃO,SIM
blobhunter,NÃO,SIM
bloodhound,NÃO,SIM
bloodhound-ce-python,NÃO,SIM
bloodhound-cli,NÃO,SIM
bloodhound-python,NÃO,SIM
bloodyad,NÃO,SIM
blue-hydra,NÃO,SIM
bluebox-ng,NÃO,SIM
bluebugger,NÃO,SIM
bluediving,NÃO,SIM
bluefog,NÃO,SIM
bluelog,NÃO,SIM
bluemaho,NÃO,SIM
bluepot,NÃO,SIM
blueprint,NÃO,SIM
blueranger,NÃO,SIM
bluescan,NÃO,SIM
bluesnarfer,NÃO,SIM
bluez-hciconfig,NÃO,SIM
bluffy,NÃO,SIM
bluphish,NÃO,SIM
bluto,NÃO,SIM
bmap,NÃO,SIM
bmap-tools,NÃO,SIM
bmc-tools,NÃO,SIM
bob-the-butcher,NÃO,SIM
bof-detector,NÃO,SIM
bonesi,NÃO,SIM
boofuzz,NÃO,SIM
boopsuite,NÃO,SIM
bopscrk,NÃO,SIM
botb,NÃO,SIM
bowcaster,NÃO,SIM
box-js,NÃO,SIM
bqm,NÃO,SIM
braa,NÃO,SIM
braces,NÃO,SIM
brainstorm,NÃO,SIM
brakeman,NÃO,SIM
breads,NÃO,SIM
bridge-utils,NÃO,SIM
bridgekeeper,NÃO,SIM
brosec,NÃO,SIM
brotli06,NÃO,SIM
brotli06-testdata,NÃO,SIM
browselist,NÃO,SIM
browser-fuzzer,NÃO,SIM
bruno,NÃO,SIM
brut3k1t,NÃO,SIM
brute-force,NÃO,SIM
brute12,NÃO,SIM
bruteforce-luks,NÃO,SIM
bruteforce-salted-openssl,NÃO,SIM
bruteforce-wallet,NÃO,SIM
brutemap,NÃO,SIM
brutespray,NÃO,SIM
brutessh,NÃO,SIM
brutex,NÃO,SIM
brutexss,NÃO,SIM
brutus,NÃO,SIM
bsdiff,NÃO,SIM
bsqlbf,NÃO,SIM
bsqlinjector,NÃO,SIM
bss,NÃO,SIM
bt_audit,NÃO,SIM
btcrack,NÃO,SIM
btlejack,NÃO,SIM
btproxy-mitm,NÃO,SIM
btscanner,NÃO,SIM
bulk-extractor,NÃO,SIM
bunny,NÃO,SIM
burpsuite,NÃO,SIM
buster,NÃO,SIM
buttinsky,NÃO,SIM
bvi,NÃO,SIM
byepass,NÃO,SIM
bypass-firewall-dns-history,NÃO,SIM
bytecode-viewer,NÃO,SIM
c5scan,NÃO,SIM
c7decrypt,NÃO,SIM
cachedump,NÃO,SIM
cafebabe,NÃO,SIM
cai,NÃO,SIM
caido-cli,NÃO,SIM
caido-desktop,NÃO,SIM
calamares,NÃO,SIM
cameradar,NÃO,SIM
camlidl,NÃO,SIM
camover,NÃO,SIM
camscan,NÃO,SIM
can-utils,NÃO,SIM
canalyzat0r,NÃO,SIM
canari,NÃO,SIM
cangibrina,NÃO,SIM
cansina,NÃO,SIM
cantoolz,NÃO,SIM
capa,NÃO,SIM
capfuzz,NÃO,SIM
captipper,NÃO,SIM
cardpwn,NÃO,SIM
cariddi,NÃO,SIM
carwhisperer,NÃO,SIM
casefile,NÃO,SIM
catana,NÃO,SIM
catnthecanary,NÃO,SIM
catphish,NÃO,SIM
ccrawldns,NÃO,SIM
cdpsnarf,NÃO,SIM
cecster,NÃO,SIM
cent,NÃO,SIM
centry,NÃO,SIM
cero,NÃO,SIM
certgraph,NÃO,SIM
certi,NÃO,SIM
certipy,NÃO,SIM
certsync,NÃO,SIM
cewl,NÃO,SIM
cflow,NÃO,SIM
chainsaw,NÃO,SIM
chameleon,NÃO,SIM
chameleonmini,NÃO,SIM
changeme,NÃO,SIM
chankro,NÃO,SIM
chaos-client,NÃO,SIM
chaosmap,NÃO,SIM
chapcrack,NÃO,SIM
cheat-sh,NÃO,SIM
check-weak-dh-ssh,NÃO,SIM
checkiban,NÃO,SIM
checkov,NÃO,SIM
checkpwd,NÃO,SIM
chiasm-shell,NÃO,SIM
chipsec,NÃO,SIM
chiron,NÃO,SIM
chisel,NÃO,SIM
chopshop,NÃO,SIM
choronzon,NÃO,SIM
chownat,NÃO,SIM
chrome-decode,NÃO,SIM
chromedriver,NÃO,SIM
chromefreak,NÃO,SIM
chromensics,NÃO,SIM
chronoleak,NÃO,SIM
chw00t,NÃO,SIM
cidr2range,NÃO,SIM
cintruder,NÃO,SIM
cipherscan,NÃO,SIM
ciphertest,NÃO,SIM
ciphr,NÃO,SIM
cirt-fuzzer,NÃO,SIM
cisco-auditing-tool,NÃO,SIM
cisco-global-exploiter,NÃO,SIM
cisco-ocs,NÃO,SIM
cisco-router-config,NÃO,SIM
cisco-scanner,NÃO,SIM
cisco-snmp-enumeration,NÃO,SIM
cisco-snmp-slap,NÃO,SIM
cisco-torch,NÃO,SIM
cisco5crack,NÃO,SIM
cisco7crack,NÃO,SIM
ciscos,NÃO,SIM
citadel,NÃO,SIM
cjexploiter,NÃO,SIM
ckbcomp,NÃO,SIM
clair,NÃO,SIM
clairvoyance,NÃO,SIM
clamscanlogparser,NÃO,SIM
cleverhans,NÃO,SIM
climber,NÃO,SIM
cloakify,NÃO,SIM
cloud-buster,NÃO,SIM
cloud_enum,NÃO,SIM
cloudfail,NÃO,SIM
cloudflare-enum,NÃO,SIM
cloudget,NÃO,SIM
cloudlist,NÃO,SIM
cloudmare,NÃO,SIM
cloudsploit,NÃO,SIM
cloudunflare,NÃO,SIM
clusterd,NÃO,SIM
cminer,NÃO,SIM
cmospwd,NÃO,SIM
cms-explorer,NÃO,SIM
cms-few,NÃO,SIM
cmseek,NÃO,SIM
cmsfuzz,NÃO,SIM
cmsmap,NÃO,SIM
cmsscan,NÃO,SIM
cmsscanner,NÃO,SIM
cnamulator,NÃO,SIM
cntlm,NÃO,SIM
codeql,NÃO,SIM
codetective,NÃO,SIM
coercer,NÃO,SIM
comission,NÃO,SIM
commentor,NÃO,SIM
commix,NÃO,SIM
commonspeak,NÃO,SIM
complemento,NÃO,SIM
compp,NÃO,SIM
configpush,NÃO,SIM
conn,NÃO,SIM
conpass,NÃO,SIM
conpot,NÃO,SIM
conscan,NÃO,SIM
cook,NÃO,SIM
cookie-cadger,NÃO,SIM
cookiejar,NÃO,SIM
corscanner,NÃO,SIM
corstest,NÃO,SIM
corsy,NÃO,SIM
cottontail,NÃO,SIM
country-ip-blocks,NÃO,SIM
cower,NÃO,SIM
cpfinder,NÃO,SIM
cpp2il,NÃO,SIM
cpptest,NÃO,SIM
cpyrit-cuda,NÃO,SIM
cpyrit-opencl,NÃO,SIM
cr3dov3r,NÃO,SIM
crabstick,NÃO,SIM
cracken,NÃO,SIM
crackle,NÃO,SIM
crackmapexec,NÃO,SIM
crackmapexec-pingcastle,NÃO,SIM
crackq,NÃO,SIM
crackql,NÃO,SIM
crackserver,NÃO,SIM
crawlic,NÃO,SIM
creak,NÃO,SIM
create_ap,NÃO,SIM
creddump,NÃO,SIM
credmap,NÃO,SIM
credmaster,NÃO,SIM
creds,NÃO,SIM
credsniper,NÃO,SIM
cribdrag,NÃO,SIM
crlf-injector,NÃO,SIM
crosslinked,NÃO,SIM
crowbar,NÃO,SIM
crozono,NÃO,SIM
crunch,NÃO,SIM
crypthook,NÃO,SIM
cryptohazemultiforcer,NÃO,SIM
cryptonark,NÃO,SIM
csdr,NÃO,SIM
csrftester,NÃO,SIM
ct-exposer,NÃO,SIM
ctf-party,NÃO,SIM
ctunnel,NÃO,SIM
ctypes-sh,NÃO,SIM
cubicsdr,NÃO,SIM
cuckoo,NÃO,SIM
cudahashcat,NÃO,SIM
cupp,NÃO,SIM
cutycapt,NÃO,SIM
cve-api,NÃO,SIM
cve-search,NÃO,SIM
cvemap,NÃO,SIM
cybercrowl,NÃO,SIM
cyberscan,NÃO,SIM
cymothoa,NÃO,SIM
cython0,NÃO,SIM
cython2,NÃO,SIM
d-tect,NÃO,SIM
dagon,NÃO,SIM
dalfox,NÃO,SIM
damm,NÃO,SIM
daredevil,NÃO,SIM
dark-dork-searcher,NÃO,SIM
darkarmour,NÃO,SIM
darkbing,NÃO,SIM
darkd0rk3r,NÃO,SIM
darkdump,NÃO,SIM
darkjumper,NÃO,SIM
darkmysqli,NÃO,SIM
darkscrape,NÃO,SIM
darkspiritz,NÃO,SIM
datajackproxy,NÃO,SIM
datasploit,NÃO,SIM
davoset,NÃO,SIM
davscan,NÃO,SIM
davtest,NÃO,SIM
dawnscanner,NÃO,SIM
dbd,NÃO,SIM
dbpwaudit,NÃO,SIM
dbusmap,NÃO,SIM
dc3dd,NÃO,SIM
dcdetector,NÃO,SIM
dcfldd,NÃO,SIM
dcrawl,NÃO,SIM
ddosify,NÃO,SIM
de4dot,NÃO,SIM
de4dotex,NÃO,SIM
deathstar,NÃO,SIM
debinject,NÃO,SIM
deblaze,NÃO,SIM
decodify,NÃO,SIM
deen,NÃO,SIM
deepce,NÃO,SIM
delldrac,NÃO,SIM
delorean,NÃO,SIM
demiguise,NÃO,SIM
densityscout,NÃO,SIM
depant,NÃO,SIM
depdep,NÃO,SIM
dependency-check,NÃO,SIM
depix,NÃO,SIM
der-ascii,NÃO,SIM
deskhpsdr,NÃO,SIM
det,NÃO,SIM
detect-it-easy,NÃO,SIM
detect-secrets,NÃO,SIM
detect-sniffer,NÃO,SIM
detectem,NÃO,SIM
devaudit,NÃO,SIM
device-pharmer,NÃO,SIM
dex2jar,NÃO,SIM
dexpatcher,NÃO,SIM
dff,NÃO,SIM
dff-scanner,NÃO,SIM
dfir-ntfs,NÃO,SIM
dftimewolf,NÃO,SIM
dga-detection,NÃO,SIM
dharma,NÃO,SIM
dhcdrop,NÃO,SIM
dhcpf,NÃO,SIM
dhcpig,NÃO,SIM
dhcpoptinj,NÃO,SIM
didier-stevens-suite,NÃO,SIM
dietlibc,NÃO,SIM
dinouml,NÃO,SIM
dirb,NÃO,SIM
dirble,NÃO,SIM
dirbuster-ng,NÃO,SIM
directorytraversalscan,NÃO,SIM
dirhunt,NÃO,SIM
dirscanner,NÃO,SIM
dirscraper,NÃO,SIM
dirsearch,NÃO,SIM
dirstalk,NÃO,SIM
disitool,NÃO,SIM
dislocker,NÃO,SIM
dissector,NÃO,SIM
dissy,NÃO,SIM
dizzy,NÃO,SIM
dkmc,NÃO,SIM
dmde,NÃO,SIM
dmg2img,NÃO,SIM
dmitry,NÃO,SIM
dnmap,NÃO,SIM
dns-parallel-prober,NÃO,SIM
dns-reverse-proxy,NÃO,SIM
dns-spoof,NÃO,SIM
dns2geoip,NÃO,SIM
dns2tcp,NÃO,SIM
dnsa,NÃO,SIM
dnsbf,NÃO,SIM
dnsbrute,NÃO,SIM
dnscan,NÃO,SIM
dnschef,NÃO,SIM
dnscobra,NÃO,SIM
dnsdiag,NÃO,SIM
dnsdrdos,NÃO,SIM
dnsenum,NÃO,SIM
dnsfilexfer,NÃO,SIM
dnsgen,NÃO,SIM
dnsgoblin,NÃO,SIM
dnsgrep,NÃO,SIM
dnsmap,NÃO,SIM
dnsobserver,NÃO,SIM
dnspredict,NÃO,SIM
dnsprobe,NÃO,SIM
dnspy,NÃO,SIM
dnsrecon,NÃO,SIM
dnssearch,NÃO,SIM
dnsspider,NÃO,SIM
dnsteal,NÃO,SIM
dnstracer,NÃO,SIM
dnstwist,NÃO,SIM
dnsvalidator,NÃO,SIM
dnswalk,NÃO,SIM
dnswatch,NÃO,SIM
dnsx,NÃO,SIM
docem,NÃO,SIM
dockerscan,NÃO,SIM
domain-analyzer,NÃO,SIM
domain-stats,NÃO,SIM
domained,NÃO,SIM
domainhunter,NÃO,SIM
domato,NÃO,SIM
domi-owned,NÃO,SIM
domlink,NÃO,SIM
donpapi,NÃO,SIM
dontgo403,NÃO,SIM
donut,NÃO,SIM
doona,NÃO,SIM
doork,NÃO,SIM
doozer,NÃO,SIM
dorkbot,NÃO,SIM
dorkme,NÃO,SIM
dorknet,NÃO,SIM
dorkscout,NÃO,SIM
dotpeek,NÃO,SIM
dpeparser,NÃO,SIM
dpkt-svn,NÃO,SIM
dpscan,NÃO,SIM
dr-checker,NÃO,SIM
dr0p1t-framework,NÃO,SIM
dracnmap,NÃO,SIM
dradis-ce,NÃO,SIM
dragon-backdoor,NÃO,SIM
driftnet,NÃO,SIM
drinkme,NÃO,SIM
dripcap,NÃO,SIM
dripper,NÃO,SIM
droopescan,NÃO,SIM
drozer,NÃO,SIM
drupal-module-enum,NÃO,SIM
drupalscan,NÃO,SIM
drupwn,NÃO,SIM
dsd,NÃO,SIM
dsd-fme,NÃO,SIM
dsfs,NÃO,SIM
dshell,NÃO,SIM
dsjs,NÃO,SIM
dsss,NÃO,SIM
dsstore-crawler,NÃO,SIM
dsxs,NÃO,SIM
dtp-spoof,NÃO,SIM
dublin-traceroute,NÃO,SIM
ducktoolkit,NÃO,SIM
dumb0,NÃO,SIM
dump1090,NÃO,SIM
dumpacl,NÃO,SIM
dumpsmbshare,NÃO,SIM
dumpusers,NÃO,SIM
dumpzilla,NÃO,SIM
duplicut,NÃO,SIM
dutas,NÃO,SIM
dvcs-ripper,NÃO,SIM
dwarf,NÃO,SIM
dynamorio,NÃO,SIM
eapeak,NÃO,SIM
eaphammer,NÃO,SIM
eapmd5pass,NÃO,SIM
easy-creds,NÃO,SIM
easyda,NÃO,SIM
easyfuzzer,NÃO,SIM
eazy,NÃO,SIM
ecfs,NÃO,SIM
edb,NÃO,SIM
eggshell,NÃO,SIM
eigrp-tools,NÃO,SIM
eindeutig,NÃO,SIM
elasticsearch,NÃO,SIM
electric-fence,NÃO,SIM
elettra,NÃO,SIM
elettra-gui,NÃO,SIM
elevate,NÃO,SIM
elfparser,NÃO,SIM
elidecode,NÃO,SIM
elite-proxy-finder,NÃO,SIM
email2phonenumber,NÃO,SIM
emldump,NÃO,SIM
emp3r0r,NÃO,SIM
empire,NÃO,SIM
enabler,NÃO,SIM
encodeshellcode,NÃO,SIM
ent,NÃO,SIM
enteletaor,NÃO,SIM
entropy,NÃO,SIM
enum-shares,NÃO,SIM
enum4linux,NÃO,SIM
enum4linux-ng,NÃO,SIM
enumerate-iam,NÃO,SIM
enumerid,NÃO,SIM
enumiax,NÃO,SIM
enyelkm,NÃO,SIM
eos,NÃO,SIM
epicwebhoneypot,NÃO,SIM
erase-registrations,NÃO,SIM
eraser,NÃO,SIM
eresi,NÃO,SIM
