Port Name,In FreeBSD Security,In BlackArch Porting
bandicoot,NÃO,SIM
barf,NÃO,SIM
barmie,NÃO,SIM
barnyard2,SIM,NÃO
barnyard2-sguil,SIM,NÃO
barq,NÃO,SIM
base64dump,NÃO,SIM
basedomainname,NÃO,SIM
bashfuscator,NÃO,SIM
bashscan,NÃO,SIM
bastillion,SIM,NÃO
batman-adv,NÃO,SIM
batman-alfred,NÃO,SIM
bbot,NÃO,SIM
bbqsql,NÃO,SIM
bbscan,NÃO,SIM
bcwipe,SIM,NÃO
bdes,SIM,NÃO
bdfproxy,NÃO,SIM
bdlogparser,NÃO,SIM
bearssl,SIM,NÃO
bed,NÃO,SIM
beebug,NÃO,SIM
beecrypt,SIM,NÃO
beef,NÃO,SIM
beeswarm,NÃO,SIM
beholder,NÃO,SIM
beid,SIM,NÃO
beidconnect,SIM,NÃO
belati,NÃO,SIM
beleth,NÃO,SIM
belier,SIM,NÃO
berate_ap,NÃO,SIM
beroot,NÃO,SIM
bettercap-ui,NÃO,SIM
bfac,NÃO,SIM
bfbtester,SIM,SIM
bfuzz,NÃO,SIM
bgp-md5crack,NÃO,SIM
bgrep,NÃO,SIM
billcipher,NÃO,SIM
binaryninja,NÃO,SIM
bindead,NÃO,SIM
bindiff,NÃO,SIM
binex,NÃO,SIM
binflow,NÃO,SIM
bing-ip2hosts,NÃO,SIM
bing-lfi-rfi,NÃO,SIM
bingoo,NÃO,SIM
binnavi,NÃO,SIM
binproxy,NÃO,SIM
binwalk,SIM,NÃO
binwally,NÃO,SIM
bios_memimage,NÃO,SIM
birp,NÃO,SIM
bisect,NÃO,SIM
bitdump,NÃO,SIM
bittwist,NÃO,SIM
bitwarden-cli,SIM,NÃO
bkcrack,NÃO,SIM
bkhive,NÃO,SIM
blackarch-artwork,NÃO,SIM
blackarch-config-awesome,NÃO,SIM
blackarch-config-bash,NÃO,SIM
blackarch-config-calamares,NÃO,SIM
blackarch-config-cursor,NÃO,SIM
blackarch-config-fluxbox,NÃO,SIM
blackarch-config-gtk,NÃO,SIM
blackarch-config-i3,NÃO,SIM
blackarch-config-icons,NÃO,SIM
blackarch-config-lxdm,NÃO,SIM
blackarch-config-openbox,NÃO,SIM
blackarch-config-spectrwm,NÃO,SIM
blackarch-config-vim,NÃO,SIM
blackarch-config-x11,NÃO,SIM
blackarch-config-xfce,NÃO,SIM
blackarch-config-zsh,NÃO,SIM
blackarch-devtools,NÃO,SIM
blackarch-devtools-toolkit,NÃO,SIM
blackarch-dwm,NÃO,SIM
blackarch-installer,NÃO,SIM
blackarch-keyring,NÃO,SIM
blackarch-menus,NÃO,SIM
blackarch-mirrorlist,NÃO,SIM
blackarch-officials,NÃO,SIM
blackarch-wallpaper,NÃO,SIM
blackbox-scanner,NÃO,SIM
blackeye,NÃO,SIM
blackhash,NÃO,SIM
blackman,NÃO,SIM
blackmate,NÃO,SIM
blacknurse,NÃO,SIM
bleah,NÃO,SIM
bless,NÃO,SIM
bletchley,NÃO,SIM
blind-sql-bitshifting,NÃO,SIM
blindelephant,NÃO,SIM
blindsql,NÃO,SIM
blindy,NÃO,SIM
blisqy,NÃO,SIM
blobhunter,NÃO,SIM
bloodhound,NÃO,SIM
bloodhound-ce-python,NÃO,SIM
bloodhound-cli,NÃO,SIM
